headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.527,0,0.764,0.236,0,-0.888,0.1,0.797,0.103,6
0.026,0.155,0.845,0,0,-0.967,0.083,0.834,0.082,4
0,0,1,0,0,-0.927,0.091,0.811,0.099,4
-0.202,0.16,0.625,0.215,0,-0.998,0.08,0.787,0.132,4
-0.84,0,0.5,0.5,0,0.992,0.085,0.874,0.042,2
0,0,1,0,0,0.987,0.087,0.848,0.065,7
-0.511,0.122,0.569,0.309,0,0.993,0.107,0.823,0.07,1
-0.153,0.151,0.658,0.191,0,0.989,0.065,0.892,0.043,4
0,0,1,0,0,0.934,0.091,0.842,0.067,1
-0.612,0.09,0.522,0.388,0,0.999,0.152,0.81,0.038,3
0.052,0.261,0.543,0.196,0,0.995,0.1,0.845,0.055,1
0.225,0.216,0.63,0.154,0,-0.986,0.095,0.788,0.116,6
-0.459,0,0.769,0.231,0,-0.981,0.11,0.766,0.124,2
0,0,1,0,0,-0.991,0.089,0.807,0.104,3
-0.34,0,0.676,0.324,0,0,0,1,0,0
0.34,0.255,0.745,0,0,0,0,1,0,0
0.637,0.344,0.656,0,0,0,0,1,0,0
0.103,0.201,0.625,0.174,0,-1,0.088,0.748,0.163,1
-0.691,0,0.68,0.32,0,-0.999,0.039,0.74,0.221,3
0,0,1,0,0,0.996,0.101,0.849,0.05,1
0,0,1,0,0,-0.394,0.04,0.92,0.039,1
0,0,1,0,0,0.995,0.098,0.844,0.059,2
0,0,1,0,0,-0.991,0.019,0.94,0.041,2
0,0,1,0,0,-0.946,0.074,0.838,0.089,4
-0.778,0,0.541,0.459,0,-0.99,0.117,0.739,0.144,3
0,0,1,0,0,-0.995,0.025,0.832,0.143,0
0,0,1,0,0,-0.299,0.084,0.829,0.087,4
0.273,0.208,0.792,0,0,0.994,0.099,0.843,0.057,5
0,0,1,0,0,-0.582,0.1,0.8,0.1,5
0,0,1,0,0,0.917,0.051,0.906,0.043,5
-0.586,0,0.625,0.375,0,-0.997,0.071,0.823,0.106,5
0,0,1,0,0,-0.92,0.04,0.879,0.081,1
-0.557,0,0.753,0.247,0,0.993,0.113,0.812,0.075,3
0,0,1,0,0,-0.981,0.077,0.826,0.097,1
-0.459,0,0.667,0.333,0,-0.978,0.052,0.866,0.082,4
-0.128,0.185,0.588,0.227,0,-0.992,0.066,0.845,0.089,6
0,0,1,0,0,-0.625,0.087,0.831,0.082,1
0,0,1,0,0,0.959,0.086,0.854,0.059,2
0,0,1,0,0,0.796,0.058,0.894,0.048,3
0.318,0.187,0.813,0,0,0.836,0.09,0.849,0.061,2
0.361,0.2,0.8,0,0,0.999,0.159,0.762,0.079,6
0.226,0.22,0.63,0.15,0,-0.999,0.094,0.766,0.141,4
0,0,1,0,0,0.996,0.092,0.861,0.047,5
0,0,1,0,0,0.938,0.131,0.749,0.12,2
0.511,0.32,0.68,0,0,0.614,0.089,0.824,0.088,4
0,0,1,0,0,0.994,0.085,0.86,0.055,9
0.572,0.291,0.709,0,0,0.992,0.111,0.851,0.038,2
-0.557,0,0.735,0.265,0,0.975,0.126,0.792,0.082,2
0,0,1,0,0,-0.985,0.07,0.839,0.09,5
-0.686,0,0.586,0.414,0,0.931,0.092,0.83,0.078,4
-0.807,0,0.354,0.646,0,-1,0.048,0.715,0.237,5
0,0,1,0,0,-0.412,0.064,0.874,0.062,1
-0.402,0,0.769,0.231,0,0.998,0.085,0.884,0.031,4
-0.625,0,0.661,0.339,0,-0.914,0.078,0.837,0.086,4
0,0,1,0,0,-0.855,0.095,0.814,0.091,4
0.511,0.248,0.752,0,0,0.97,0.095,0.822,0.083,4
-0.557,0.174,0.449,0.376,0,-0.952,0.057,0.864,0.079,1
0.511,0.231,0.769,0,0,-0.998,0.054,0.862,0.084,6
0.557,0.31,0.69,0,0,-0.721,0.07,0.862,0.069,3
0.44,0.333,0.492,0.175,0,0.957,0.106,0.84,0.053,1
0.402,0.213,0.787,0,0,-0.999,0.071,0.798,0.132,5
0,0,1,0,0,-0.997,0.043,0.861,0.096,2
0,0,1,0,0,0.998,0.101,0.857,0.042,8
-0.649,0,0.699,0.301,0,0.99,0.077,0.856,0.067,11
0.296,0.268,0.732,0,0,0.995,0.13,0.817,0.053,3
0.361,0.294,0.706,0,0,0,0,1,0,0
-0.477,0,0.78,0.22,0,0,0,1,0,0
0.202,0.276,0.517,0.207,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0.68,0.383,0.617,0,0,0,0,1,0,0
-0.226,0.17,0.519,0.311,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.691,0,0.657,0.343,0,-0.984,0.074,0.807,0.119,0
-0.153,0.159,0.647,0.194,0,-0.99,0.053,0.849,0.097,1
0,0,1,0,0,-0.975,0.105,0.787,0.108,6
-0.077,0,0.885,0.115,0,-0.987,0.09,0.808,0.102,10
0,0,1,0,0,-0.996,0.069,0.833,0.098,7
0,0,1,0,0,-0.999,0.079,0.796,0.125,8
-0.769,0,0.575,0.425,0,-0.999,0.076,0.754,0.169,1
0.128,0.158,0.842,0,0,-0.994,0.071,0.818,0.111,2
0,0,1,0,0,0.998,0.136,0.782,0.081,7
-0.791,0,0.533,0.467,0,-0.994,0.064,0.844,0.092,4
0,0,1,0,0,-0.865,0.061,0.871,0.067,2
0.511,0.231,0.769,0,0,0.964,0.091,0.83,0.08,5
0,0,1,0,0,-0.991,0.044,0.882,0.074,2
-0.599,0,0.692,0.308,0,-0.993,0.04,0.866,0.093,4
0,0,1,0,0,0.758,0.068,0.874,0.058,3
-0.557,0,0.625,0.375,0,-0.999,0.086,0.785,0.13,4
0,0,1,0,0,0.995,0.088,0.859,0.053,4
-0.765,0,0.548,0.452,0,-0.991,0.036,0.813,0.151,0
0,0,1,0,0,-0.999,0.029,0.801,0.17,0
-0.477,0,0.78,0.22,0,-0.977,0.069,0.85,0.081,5
-0.44,0,0.756,0.244,0,-0.995,0.051,0.82,0.129,4
0.527,0.327,0.673,0,0,0.998,0.083,0.874,0.043,7
-0.318,0,0.813,0.187,0,1,0.142,0.811,0.047,4
-0.836,0,0.503,0.497,0,-1,0.033,0.86,0.107,5
-0.402,0,0.787,0.213,0,-0.987,0.079,0.803,0.119,3
0,0,1,0,0,0.989,0.108,0.813,0.079,5
0.077,0.252,0.522,0.226,0,0.977,0.061,0.896,0.043,4
-0.296,0,0.804,0.196,0,0.997,0.127,0.793,0.079,3
0.511,0.248,0.752,0,0,0.98,0.085,0.847,0.069,4
0.361,0.217,0.783,0,0,0.998,0.115,0.852,0.033,4
-0.67,0,0.621,0.379,0,-0.975,0.102,0.74,0.158,3
0.052,0.225,0.563,0.211,0,0.938,0.074,0.876,0.051,9
-0.625,0,0.745,0.255,0,-0.999,0.08,0.785,0.134,10
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,-0.942,0.061,0.866,0.073,7
0,0,1,0,0,-0.295,0.067,0.868,0.065,5
0,0,1,0,0,0.087,0.073,0.848,0.078,3
0.875,0.556,0.444,0,0,0.998,0.099,0.874,0.027,2
-0.84,0,0.529,0.471,0,-1,0.045,0.726,0.229,8
0,0,1,0,0,-0.999,0.035,0.833,0.132,2
0.557,0.34,0.66,0,0,0.844,0.052,0.918,0.03,1
-0.727,0,0.621,0.379,0,-0.998,0.059,0.83,0.111,8
0,0,1,0,0,0.957,0.052,0.93,0.018,1
0.493,0.313,0.687,0,0,0.999,0.111,0.861,0.028,4
-0.67,0,0.522,0.478,0,-0.999,0.046,0.824,0.13,2
0,0,1,0,0,0.999,0.112,0.837,0.051,10
-0.459,0,0.769,0.231,0,-0.994,0.029,0.874,0.097,1
-0.382,0,0.794,0.206,0,-0.96,0.052,0.884,0.064,6
-0.103,0.193,0.568,0.239,0,-0.992,0.054,0.849,0.097,2
-0.25,0,0.833,0.167,0,-0.998,0.081,0.738,0.181,3
-0.681,0,0.556,0.444,0,-0.993,0.074,0.831,0.095,4
-0.637,0,0.741,0.259,0,-0.996,0.061,0.836,0.102,5
-0.637,0,0.704,0.296,0,-0.995,0.072,0.784,0.144,0
0,0,1,0,0,-0.999,0.07,0.773,0.156,12
0.494,0.225,0.775,0,0,0.978,0.058,0.894,0.047,6
0.361,0.185,0.815,0,0,0.999,0.127,0.828,0.046,6
-0.226,0,0.787,0.213,0,-0.999,0.066,0.785,0.149,3
-0.361,0.117,0.631,0.252,0,0.924,0.092,0.829,0.079,6
-0.625,0,0.709,0.291,0,-0.993,0.062,0.823,0.115,4
-0.382,0,0.794,0.206,0,-0.982,0.095,0.799,0.106,3
0.67,0.426,0.414,0.16,0,-0.998,0.082,0.779,0.139,3
0,0,1,0,0,-0.999,0.028,0.816,0.156,3
-0.735,0,0.326,0.674,0,-0.998,0.081,0.794,0.125,8
-0.318,0,0.827,0.173,0,-0.995,0.073,0.811,0.117,5
-0.852,0,0.429,0.571,0,-0.999,0.045,0.85,0.105,4
-0.7,0,0.595,0.405,0,0.997,0.132,0.777,0.091,5
0.202,0.237,0.593,0.169,0,-0.996,0.062,0.834,0.104,5
-0.542,0,0.811,0.189,0,0.998,0.112,0.829,0.059,7
0,0,1,0,0,-0.953,0.031,0.916,0.053,5
-0.67,0,0.522,0.478,0,0,0,1,0,0
-0.735,0,0.326,0.674,0,0,0,1,0,0
