headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.848,0,0.352,0.648,0,0,0,1,0,0
-0.25,0,0.778,0.222,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.844,0,0.397,0.603,0,0,0,1,0,0
-0.382,0,0.776,0.224,0,0,0,1,0,0
0,0,1,0,0,0.984,0.074,0.895,0.03,2
0,0,1,0,0,0.968,0.095,0.86,0.045,0
0,0,1,0,0,-0.977,0.075,0.786,0.139,0
-0.599,0,0.698,0.302,0,-0.999,0.065,0.818,0.117,11
0.026,0.073,0.927,0,0,0.901,0.064,0.915,0.021,0
-0.128,0,0.889,0.111,0,-0.999,0.075,0.797,0.129,8
0.44,0.225,0.775,0,0,-0.999,0.065,0.822,0.113,8
0,0,1,0,0,0.946,0.08,0.848,0.072,10
-0.459,0,0.727,0.273,0,0.977,0.115,0.786,0.099,9
-0.421,0,0.781,0.219,0,-0.996,0.076,0.814,0.11,4
0.402,0.231,0.769,0,0,0.458,0.07,0.866,0.064,5
0,0,1,0,0,0.972,0.064,0.893,0.043,5
0.026,0.091,0.909,0,0,-0.999,0.044,0.832,0.124,7
-0.67,0,0.69,0.31,0,-1,0.06,0.789,0.151,8
0,0,1,0,0,0.994,0.091,0.862,0.047,5
0.026,0.159,0.69,0.152,0,-0.965,0.072,0.821,0.107,3
0,0,1,0,0,-0.999,0.047,0.839,0.113,6
-0.103,0,0.833,0.167,0,-0.939,0.076,0.834,0.09,3
-0.052,0,0.915,0.085,0,0.494,0.047,0.9,0.053,0
-0.881,0,0.465,0.535,0,-0.999,0.055,0.829,0.116,6
-0.649,0,0.736,0.264,0,-0.982,0.066,0.836,0.098,2
-0.572,0,0.737,0.263,0,-0.998,0.035,0.838,0.127,3
0.25,0.262,0.556,0.183,0,-0.931,0.096,0.791,0.113,4
-0.772,0.044,0.683,0.273,0,-0.998,0.049,0.854,0.097,8
0,0,1,0,0,-0.261,0.048,0.897,0.054,3
-0.226,0,0.84,0.16,0,-0.968,0.053,0.882,0.065,1
-0.026,0.215,0.565,0.22,0,-0.976,0.1,0.795,0.105,6
0,0,1,0,0,0.994,0.1,0.827,0.073,4
0,0,1,0,0,-0.989,0.016,0.888,0.096,1
0,0,1,0,0,-1,0.067,0.798,0.135,10
-0.612,0,0.667,0.333,0,-0.838,0.059,0.844,0.097,1
0.557,0.34,0.66,0,0,0.907,0.086,0.837,0.077,5
0,0,1,0,0,-0.997,0.067,0.833,0.1,8
0.25,0.167,0.833,0,0,0.923,0.032,0.946,0.022,6
0,0,1,0,0,0.987,0.075,0.87,0.055,6
-0.572,0,0.709,0.291,0,-0.997,0.071,0.816,0.112,11
0,0,1,0,0,0.814,0.12,0.81,0.07,0
